country,id,year,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment
Luxembourg,LUX,2019,100,100,100,65353.73649,2.915847915,121.4038237,1.743320757,82.63902439,1.96284492,0.620001,-0.75791224,5.595,2.228565739
Luxembourg,LUX,2020,100,100,100,6609.891746,-0.909829799,122.11410159932599,0.819957302,82.14390244,1.666358674,0.630419,-0.988013467,6.773,1.918069241
Luxembourg,LUX,2021,100,100,100,161835.5117,7.168401987,137.9473439,2.526920091,82.59756098,1.518349367,0.640064,-1.076633498,5.247,1.75746553
Luxembourg,LUX,2022,100,100,100,86929.68085,1.380185891,146.4570205,6.336008078,83.04634146,2.016667902,0.653103,-0.526663495,4.585,2.244547342
"Macao SAR, China",MAC,2019,100,100,100,-5005.583728,-2.563522732,127.7472191,2.751930811,84.978,1.926360529,0.663653,,1.749,1.926360529
"Macao SAR, China",MAC,2020,100,100,100,7920.972869,-54.33587564,57.992213339987195,0.811410511,85.184,1.885220497,0.676283,,2.566,1.885220497
"Macao SAR, China",MAC,2021,100,100,100,-1240.51328,23.53556694,73.73408161,0.026454365,85.399,1.515044864,0.686607,,2.252,1.515044864
"Macao SAR, China",MAC,2022,100,100,100,-2118.214147,-21.40195058,61.27012422,1.045028024,85.377,1.239146684,0.695168,,2.476,1.239146684
Madagascar,MDG,2019,31,13,60.7,-372.6931954,4.411232129,1.65249342,5.610514415,65.882,2.525316628,27.533134,1.45285904,2.46,4.31079477
Madagascar,MDG,2020,32,6.7,72.4,-239.3737346,-7.137671621,1.528782411,4.201793122,65.182,2.482422893,28.225177,1.393458517,3.246,4.244365289
Madagascar,MDG,2021,35.1,10.9,72.6,-243.2093758,5.739615739,1.642304162,5.812251188,64.485,2.416869374,28.915653,1.315918917,3.415,4.148299413
Madagascar,MDG,2022,36.1,10.9,71.6,-325.8312006,3.796199089,1.781782812,8.16059032,65.23,2.37869515,29.611714,1.262158169,3.186,4.085676867
Malawi,MWI,2019,11.2,4.1,45.5,-31.97274643,5.448181336,1.4655504688045702,9.370836056,64.119,2.68285756,18.867337,2.397124802,4.949,4.072457958
Malawi,MWI,2020,11.5,3.5,49.6,-406.0856555,0.799998331,1.560961347,8.625514697,63.717,2.665771783,19.377061,2.359844372,5.681,4.128184959
Malawi,MWI,2021,14.2,5.6,54.2,-101.8690894,2.751402609,1.728825398,9.330144108,62.904,2.611417766,19.889742,2.286325063,5.585,4.13757318
Malawi,MWI,2022,14,5.6,54,-206.2480316,0.923449719,1.8204522326777002,20.95396973,62.898,2.559138271,20.405317,2.212265264,5.051,4.156925538
Malaysia,MYS,2019,100,100,100,-1626.970695,4.413187421,29.49540352,0.662891866,75.76,1.241514631,32.80402,-1.170073859,3.26,1.989669393
Malaysia,MYS,2020,100,100,100,-762.7780474,-5.456846584,28.04538736,-1.138702154,75.938,1.199859622,33.199993,-1.192485227,4.54,1.919132768
Malaysia,MYS,2021,100,100,100,-7460.181234,3.297641008,30.456092895174102,2.477102415,74.884,1.119853991,33.573874,-1.254873829,4.64,1.812110672
Malaysia,MYS,2022,100,100,100,-3216.658619,8.650344224,35.04031009,3.378698625,76.26,1.079363741,33.938221,-1.270483121,3.93,1.743852005
Maldives,MDV,2019,100,100,100,-961.0375657,7.298335745,22.30979748,0.220029731,80.116,2.96723054,0.504508,2.250308356,4.562,4.041588631
Maldives,MDV,2020,100,100,100,-440.7117094,-32.90882878,13.103850514990299,-1.369774256,79.875,1.949134572,0.514438,1.225282131,5.404,3.014630756
Maldives,MDV,2021,100,100,100,-642.8307136,37.68719229,18.8657193,0.543149689,79.918,1.355177392,0.521457,0.622849442,5.021,2.41402268
Maldives,MDV,2022,100,100,100,-732.2271008,13.90667638,22.90005882,2.333143376,80.839,0.445829655,0.523787,-0.293794181,4.424,1.496245692
